jday,month,day,hour,u10,v10,mixht,precip,tempc,year,datetime,ws,wd,wd_category_8,wd_category_4,ws_category,mixht_category,tempc_category,total_hours,percentage_wd_8,percentage_wd_4,percentage_ws,percentage_mixht,percentage_tempc
1,Jan,1,5,0.062,-0.632,15.722,0.0,6.051,2018,2018-01-01 05:30:00,0.6350338573651014,354.3971393200193,N,N,<2,<100,<15,745,1.8791946308724832,4.966442953020135,19.19463087248322,48.59060402684563,56.10738255033557
1,Jan,1,6,-0.103,-0.787,15.683,0.0,5.461,2018,2018-01-01 06:30:00,0.7937115345010428,7.456305646743033,N,N,<2,<100,<15,745,1.8791946308724832,4.966442953020135,19.19463087248322,48.59060402684563,56.10738255033557
1,Jan,1,7,-0.151,-0.848,15.669,0.0,6.608,2018,2018-01-01 07:30:00,0.8613390737682808,10.09660727321193,N,N,<2,<100,<15,745,1.8791946308724832,4.966442953020135,19.19463087248322,48.59060402684563,56.10738255033557
1,Jan,1,8,-0.233,-0.585,45.743,0.0,11.591,2018,2018-01-01 08:30:00,0.6296935762734125,21.71692741912912,N,N,<2,<100,<15,745,1.8791946308724832,4.966442953020135,19.19463087248322,48.59060402684563,56.10738255033557
1,Jan,1,9,-0.268,-0.244,136.597,0.0,15.842,2018,2018-01-01 09:30:00,0.3624362012823774,47.68377515946901,NE,E,<2,100-500,15-20,745,1.8791946308724832,2.4161073825503356,19.19463087248322,28.187919463087248,16.10738255033557
1,Jan,1,10,0.005,0.056,337.662,0.0,18.726,2018,2018-01-01 10:30:00,0.05622277118748239,185.1021652523582,S,S,<2,100-500,15-20,745,0.2684563758389262,1.476510067114094,19.19463087248322,28.187919463087248,16.10738255033557
1,Jan,1,11,0.638,-0.113,808.971,0.0,20.615,2018,2018-01-01 11:30:00,0.6479297801459661,280.0438376829102,W,W,<2,500-1K,20-25,745,76.91275167785236,91.14093959731544,19.19463087248322,14.496644295302014,21.879194630872483
1,Jan,1,12,1.305,-0.599,1118.975,0.0,21.87,2018,2018-01-01 12:30:00,1.4359059857804062,294.65530424768195,NW,W,<2,1K-2K,20-25,745,15.570469798657719,91.14093959731544,19.19463087248322,8.724832214765101,21.879194630872483
1,Jan,1,13,1.863,-1.181,1682.288,0.0,22.755,2018,2018-01-01 13:30:00,2.2057946413934366,302.37158220429035,NW,W,2-4,1K-2K,20-25,745,15.570469798657719,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
1,Jan,1,14,2.255,-1.319,1946.146,0.0,23.075,2018,2018-01-01 14:30:00,2.6124291377949374,300.3243212559505,NW,W,2-4,1K-2K,20-25,745,15.570469798657719,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
1,Jan,1,15,2.468,-1.345,1948.549,0.0,22.914,2018,2018-01-01 15:30:00,2.810702581206343,298.5893101089251,NW,W,2-4,1K-2K,20-25,745,15.570469798657719,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
1,Jan,1,16,2.145,-1.195,1674.095,0.0,21.927,2018,2018-01-01 16:30:00,2.4554123889888637,299.1225974763916,NW,W,2-4,1K-2K,20-25,745,15.570469798657719,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
1,Jan,1,17,1.848,-1.12,49.743,0.0,16.805,2018,2018-01-01 17:30:00,2.1609035147363707,301.21840276434637,NW,W,2-4,<100,15-20,745,15.570469798657719,91.14093959731544,52.61744966442953,48.59060402684563,16.10738255033557
1,Jan,1,18,1.908,-1.579,27.634,0.0,14.758,2018,2018-01-01 18:30:00,2.4766317853084256,309.6100736630807,NW,W,2-4,<100,<15,745,15.570469798657719,91.14093959731544,52.61744966442953,48.59060402684563,56.10738255033557
1,Jan,1,19,1.984,-2.325,31.456,0.0,13.615,2018,2018-01-01 19:30:00,3.0564490834954214,319.52476847283424,NW,N,2-4,<100,<15,745,15.570469798657719,4.966442953020135,52.61744966442953,48.59060402684563,56.10738255033557
1,Jan,1,20,1.348,-2.744,32.893,0.0,12.594,2018,2018-01-01 20:30:00,3.057227502165974,333.8372531265764,NW,N,2-4,<100,<15,745,15.570469798657719,4.966442953020135,52.61744966442953,48.59060402684563,56.10738255033557
1,Jan,1,21,0.552,-2.979,30.972,0.0,11.6,2018,2018-01-01 21:30:00,3.0297103821982723,349.5023246054294,N,N,2-4,<100,<15,745,1.8791946308724832,4.966442953020135,52.61744966442953,48.59060402684563,56.10738255033557
1,Jan,1,22,-0.152,-2.97,27.205,0.0,10.618,2018,2018-01-01 22:30:00,2.9738870187012822,2.929753135816952,N,N,2-4,<100,<15,745,1.8791946308724832,4.966442953020135,52.61744966442953,48.59060402684563,56.10738255033557
1,Jan,1,23,-0.592,-2.816,20.932,0.0,9.678,2018,2018-01-01 23:30:00,2.8775545172941555,11.872250313984523,N,N,2-4,<100,<15,745,1.8791946308724832,4.966442953020135,52.61744966442953,48.59060402684563,56.10738255033557
1,Jan,2,0,-0.675,-2.309,15.877,0.0,8.832,2018,2018-01-02 00:30:00,2.4056404552634216,16.295454264762952,N,N,2-4,<100,<15,745,1.8791946308724832,4.966442953020135,52.61744966442953,48.59060402684563,56.10738255033557
1,Jan,2,1,-0.74,-2.054,15.846,0.0,8.258,2018,2018-01-02 01:30:00,2.183235214080242,19.81270398592656,N,N,2-4,<100,<15,745,1.8791946308724832,4.966442953020135,52.61744966442953,48.59060402684563,56.10738255033557
1,Jan,2,2,-0.818,-1.748,15.804,0.0,7.564,2018,2018-01-02 02:30:00,1.92992953239231,25.07787312399958,NE,N,<2,<100,<15,745,1.8791946308724832,4.966442953020135,19.19463087248322,48.59060402684563,56.10738255033557
1,Jan,2,3,-0.806,-1.479,15.757,0.0,6.809,2018,2018-01-02 03:30:00,1.6843624906771109,28.588741295240197,NE,N,<2,<100,<15,745,1.8791946308724832,4.966442953020135,19.19463087248322,48.59060402684563,56.10738255033557
1,Jan,2,4,-0.649,-1.097,15.711,0.0,6.068,2018,2018-01-02 04:30:00,1.2746018986334517,30.609131639406655,NE,N,<2,<100,<15,745,1.8791946308724832,4.966442953020135,19.19463087248322,48.59060402684563,56.10738255033557
2,Jan,2,5,-0.328,-0.674,15.665,0.0,5.328,2018,2018-01-02 05:30:00,0.7495732119012792,25.949726367141864,NE,N,<2,<100,<15,745,1.8791946308724832,4.966442953020135,19.19463087248322,48.59060402684563,56.10738255033557
2,Jan,2,6,-0.008,-0.325,15.617,0.0,4.567,2018,2018-01-02 06:30:00,0.3250984466280945,1.410072899766078,N,N,<2,<100,<15,745,1.8791946308724832,4.966442953020135,19.19463087248322,48.59060402684563,56.10738255033557
2,Jan,2,7,0.308,-0.085,15.602,0.0,5.768,2018,2018-01-02 07:30:00,0.319513692977312,285.428122178009,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
2,Jan,2,8,0.583,0.019,34.354,0.0,10.9,2018,2018-01-02 08:30:00,0.5833095233235953,268.13338826017855,W,W,<2,<100,<15,745,76.91275167785236,91.14093959731544,19.19463087248322,48.59060402684563,56.10738255033557
2,Jan,2,9,0.771,0.187,114.766,0.0,15.518,2018,2018-01-02 09:30:00,0.7933536411966609,256.36662452695174,W,W,<2,100-500,15-20,745,76.91275167785236,91.14093959731544,19.19463087248322,28.187919463087248,16.10738255033557
2,Jan,2,10,1.174,0.32,285.796,0.0,18.827,2018,2018-01-02 10:30:00,1.2168303086297612,254.7531407432614,W,W,<2,100-500,15-20,745,76.91275167785236,91.14093959731544,19.19463087248322,28.187919463087248,16.10738255033557
2,Jan,2,11,2.076,-0.177,1390.656,0.0,20.843,2018,2018-01-02 11:30:00,2.083531857207852,274.8732592147856,W,W,2-4,1K-2K,20-25,745,76.91275167785236,91.14093959731544,52.61744966442953,8.724832214765101,21.879194630872483
